17:02:32,129 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.089 | Ask: 127.098)| Slow 166666 (Bid:127.103 | Ask: 127.104) | Delta: -0.0150000
17:02:32,232 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.089 | Ask: 127.098)| Slow 166666 (Bid:127.098 | Ask: 127.109) | Delta: -0.0200000
17:02:32,352 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.092 | Ask: 127.103)| Slow 166666 (Bid:127.104 | Ask: 127.105) | Delta: -0.0130000
17:02:32,513 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.097 | Ask: 127.103)| Slow 166666 (Bid:127.101 | Ask: 127.111) | Delta: -0.0140000
17:03:03,643 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.091 | Ask: 127.101)| Slow 166666 (Bid:127.102 | Ask: 127.103) | Delta: -0.0120000
17:03:03,650 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.091 | Ask: 127.102)| Slow 166666 (Bid:127.102 | Ask: 127.103) | Delta: -0.0120000
17:03:08,175 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.104 | Ask: 127.114)| Slow 166666 (Bid:127.118 | Ask: 127.119) | Delta: -0.0150000
17:03:08,193 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.104 | Ask: 127.116)| Slow 166666 (Bid:127.11 | Ask: 127.122) | Delta: -0.0180000
17:03:10,687 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.115 | Ask: 127.123)| Slow 166666 (Bid:127.124 | Ask: 127.125) | Delta: -0.0100000
17:03:10,749 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.115 | Ask: 127.123)| Slow 166666 (Bid:127.122 | Ask: 127.133) | Delta: -0.0180000
17:03:10,830 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.115 | Ask: 127.124)| Slow 166666 (Bid:127.127 | Ask: 127.128) | Delta: -0.0130000
17:03:10,903 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.117 | Ask: 127.127)| Slow 166666 (Bid:127.127 | Ask: 127.128) | Delta: -0.0110000
17:04:05,853 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.126 | Ask: 127.137)| Slow 166666 (Bid:127.124 | Ask: 127.125) | Delta: 0.0010000
17:04:05,856 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.124 | Ask: 127.135)| Slow 166666 (Bid:127.124 | Ask: 127.125) | Delta: -0.0010000
17:04:20,701 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25759 | Ask: 1.25769)| Slow 166666 (Bid:1.25757 | Ask: 1.25758) | Delta: 0.0000100
17:04:20,706 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25757 | Ask: 1.25768)| Slow 166666 (Bid:1.25757 | Ask: 1.25758) | Delta: -0.0000100
17:13:05,698 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25702 | Ask: 1.25712)| Slow 166666 (Bid:1.25699 | Ask: 1.257) | Delta: 0.0000200
17:13:05,713 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25702 | Ask: 1.25712)| Slow 166666 (Bid:1.25695 | Ask: 1.25703) | Delta: -0.0000100
17:13:12,588 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07141 | Ask: 1.07149)| Slow 166666 (Bid:1.07151 | Ask: 1.07152) | Delta: -0.0001100
17:13:12,879 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07141 | Ask: 1.07149)| Slow 166666 (Bid:1.0715 | Ask: 1.07153) | Delta: -0.0001200
17:13:12,886 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07141 | Ask: 1.07149)| Slow 166666 (Bid:1.07149 | Ask: 1.0715) | Delta: -0.0000900
17:13:14,090 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07142 | Ask: 1.07151)| Slow 166666 (Bid:1.0715 | Ask: 1.07153) | Delta: -0.0001100
17:17:07,124 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.181 | Ask: 127.19)| Slow 166666 (Bid:127.191 | Ask: 127.192) | Delta: -0.0110000
17:17:07,126 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.181 | Ask: 127.19)| Slow 166666 (Bid:127.19 | Ask: 127.191) | Delta: -0.0100000
17:17:07,127 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.181 | Ask: 127.19)| Slow 166666 (Bid:127.191 | Ask: 127.192) | Delta: -0.0110000
17:17:07,128 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.181 | Ask: 127.19)| Slow 166666 (Bid:127.186 | Ask: 127.196) | Delta: -0.0150000
17:17:07,128 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.181 | Ask: 127.19)| Slow 166666 (Bid:127.191 | Ask: 127.192) | Delta: -0.0110000
17:17:07,129 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.181 | Ask: 127.19)| Slow 166666 (Bid:127.19 | Ask: 127.191) | Delta: -0.0100000
17:17:45,163 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07142 | Ask: 1.0715)| Slow 166666 (Bid:1.07152 | Ask: 1.07153) | Delta: -0.0001100
17:17:45,240 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07143 | Ask: 1.07151)| Slow 166666 (Bid:1.07149 | Ask: 1.07158) | Delta: -0.0001500
17:20:21,222 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.165 | Ask: 127.172)| Slow 166666 (Bid:127.173 | Ask: 127.179) | Delta: -0.0140000
17:20:21,279 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.165 | Ask: 127.172)| Slow 166666 (Bid:127.165 | Ask: 127.171) | Delta: -0.0060000
17:20:29,782 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.171 | Ask: 127.18)| Slow 166666 (Bid:127.169 | Ask: 127.17) | Delta: 0.0010000
