15:37:48,132 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.987 | Ask: 126.988)| Slow 26015101 (Bid:126.99 | Ask: 126.999) | Delta: -0.0120000
15:37:48,338 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.981 | Ask: 126.992)| Slow 26015101 (Bid:126.99 | Ask: 126.999) | Delta: -0.0180000
15:37:48,912 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.978)| Slow 26015101 (Bid:126.981 | Ask: 126.984) | Delta: -0.0070000
15:37:48,943 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.972 | Ask: 126.982)| Slow 26015101 (Bid:126.981 | Ask: 126.984) | Delta: -0.0120000
15:37:49,070 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.978)| Slow 26015101 (Bid:126.981 | Ask: 126.984) | Delta: -0.0070000
15:37:49,494 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.978)| Slow 26015101 (Bid:126.973 | Ask: 126.98) | Delta: -0.0030000
15:37:55,488 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.969 | Ask: 126.97)| Slow 26015101 (Bid:126.972 | Ask: 126.98) | Delta: -0.0110000
15:37:55,799 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.969 | Ask: 126.97)| Slow 26015101 (Bid:126.966 | Ask: 126.973) | Delta: -0.0040000
15:38:00,665 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.98)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: 0.0010000
15:38:00,725 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.975 | Ask: 126.987)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: -0.0010000
15:38:00,818 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.985)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: 0.0060000
15:38:01,100 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.99)| Slow 26015101 (Bid:126.979 | Ask: 126.986) | Delta: -0.0090000
