16:36:50,803 | ERROR | 26015101 | SUBSCRIBE FAILED [Error: EURPLN not exist, StackTrace:    at TradingAPI.MT4Server.QuoteClient.Subscribe(String symbol) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\mt4-terminal-api\QuoteClient.cs:line 507
17:03:12,972 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:13,967 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:14,068 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:14,071 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:15,070 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:15,073 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:15,075 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:16,169 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:16,172 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:16,174 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:17,169 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:17,172 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:17,269 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:17,470 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:18,270 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:18,273 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:18,275 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:19,273 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:19,371 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:19,373 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:20,372 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:20,374 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:20,377 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:21,472 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:21,475 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:22,472 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:22,475 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:22,477 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:23,574 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:23,576 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:24,573 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:24,575 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:24,673 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:25,674 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:25,676 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:25,678 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:26,675 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:26,775 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:26,777 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:27,778 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:27,781 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:27,783 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:28,776 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:28,876 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:28,879 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:29,876 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:29,879 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:29,881 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:30,978 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:30,980 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:30,982 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:31,978 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:31,982 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:32,078 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:33,078 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:33,081 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:33,083 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:34,079 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:34,179 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:34,181 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:35,188 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:35,191 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:36,280 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:36,282 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:37,281 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:37,284 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:37,286 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:38,384 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:38,386 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:38,389 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:39,381 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:39,384 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:39,482 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:40,482 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:40,484 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:40,487 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:41,483 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:41,585 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:41,588 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:42,584 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:42,587 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:43,685 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:43,687 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:44,686 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:44,689 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:44,691 | ERROR | FixApplication | FromApp field not found for tag: 273
